PRODUCTO,LOTE ,CAJA,CANT.,SUELTO,TOTAL,,,
AMANTINA 250 ML,AM0141,15,6,9,99,,,
AMANTINA 500 ML,AM0140,20,27,20,560,,,
AMANTINA 500 ML,AM0141,20,76,8,1528,,,
AMANTINA PREMIUM 100 ML,AP0060,30,0,0,0,,,
AMANTINA PREMIUM 250 ML,AP0034,24,0,0,0,,,
AMANTINA PREMIUM 500 ML,AP0081,20,21,15,435,,,
AMINOÁCIDOS 20 ML,AO0248,15,0,0,0,,,
AMINOÁCIDOS 50 ML GALLO,AO0294,40,5,1,201,,,
AMINOÁCIDOS 50 ML MASCOTA,AO0294,40,2,34,114,,,
AMINOÁCIDOS 1 L,AO0295,12,35,6,426,,,
AMINOÁCIDOS 1 L AVES,AO0282,12,3,0,36,,,
AMINOÁCIDOS 5 L,AO0294,4,23,3,95,,,
ANTITÉRMICO 1 L,AT0015,12,0,0,0,,,
CALCITROVIT 500 ML,CV0018,20,0,0,0,,,
CETRI-AMON 1 L  ,CA0131,12,2,6,30,,,
CETRI-AMON 5 L,CA0131,4,18,2,74,,,
COMPLEJO B B12 B15 20 ML,CB0092,12,11,6,138,,,
COMPLEJO B B12 B15 100 ML,CB0094,24,13,7,319,,,
COMPLEJO B B12 B15 250 ML,CB0093,24,14,23,359,,,
COMPLEJO B HIERRO CERDOS 25 ML,HB0025,20,14,0,280,,,
COMPLEJO B HIERRO CERDOS 100 ML,HB0030,24,9,3,219,,,
COMPLEJO B HIERRO EQUINO 25 ML,HB0028,20,6,17,137,,,
COMPLEJO B HIERRO EQUINOS 100 ML,HB0030,24,72,11,1739,,,
ENERGIZANTE 25 ML,EN0124,20,4,9,89,,,
ENERGIZANTE 100 ML,EN0129,24,40,0,960,,,
ENERGIZANTE 100 ML,EN0131,24,55,0,1320,,,
ENERGIZANTE 250 ML,EN0131,24,22,13,541,,,
ENERGIZANTE 250 ML VACAS,EN0129,24,6,0,144,,,
ENERGIZANTE 500 ML,EN0122,20,0,0,0,,,
IVERSAN 500 ML,IV0038,20,0,0,0,,,
JERINGA ATP 35 GR,EN0116,24,4,16,112,,,
OLIVITASAN 25 ML,OL0910,20,9,15,195,,,
OLIVITASAN 100 ML,OL0909,40,18,14,734,,,
OLIVITASAN 300 ML,OL0910,24,3,13,85,,,
OLIVITASAN 500 ML,OL0916,20,67,0,1340,,,
OLIVITASAN 500 ML,OL0919,20,51,0,1020,,,
OLIVITASAN PLUS 50 ML,PL0578,40,1,6,46,,,
OLIVITASAN PLUS 250 ML,PL0605,24,20,0,480,,,
OLIVITASAN PLUS 500 ML,PL0603,20,0,0,0,,,
OLIVITASAN PLUS 500 ML,PL0605,20,45,0,900,,,
SUPERCOMPLEJO B 1 L AVES,SC0014,12,6,8,80,,,
SUPERCOMPLEJO B 1 L EQUINO,SC0014,12,3,10,46,,, 
TILCOSAN 100 ML,TM0036,24,26,1,625,,,
TILCOSAN 250 ML,TM0038,24,104,21,2517,,,
VITAMINA B1 100 ML,VB0017,24,12,1,289,,,
VITAMINA B12 50 ML,BB005,30,0,20,20,,,
VITAMINA B12 100 ML,BB005,24,11,8,272,,,
