PRODUCTO,CANTIDAD
ACIDO CITRICO,0
ACIDO OLEICO,190
ALCOHOL BENCILICO,0
ARGININA,0
ASPARTATO DE MAGNESIO,0
ASPARTATO DE POTASIO,0
ATP,0
BETAINA,0
CITRATO DE SODIO,0
CLORURO CÚPRICO,50
CLORURO DE BENZALCONIO,25
CLORURO DE CALCIO,75
CLORURO DE MAGNESIO,0
CLORURO DE SODIO,25
CLORURO DE ZINC,0
CLORURO DE COBALTO,0
DEXTROSA,50
DIISOPROPILAMINA DICLOROACETATO,50
EDETATO DE COBRE Y ZINC,140
EDETATO DE ZINC,175
EDTA,0
FENOL,0
FOSFATO DE SODIO,0
GLICERINA ,75
GLICEROFORMAL,0
GLUCONATO DE CALCIO,0
GLUCONATO DE ZINC,8
HIERRO CITRATO,0
HIERRO CITRATO 50%,20
IODURO DE SODIO,0
ISOLEUCINA,0
LECHE CONDENSADA,0
LEUCINA,0
LEVAMISOL,0
LISINA,25
METILPARABENO,0
NICOTINAMIDA,200
NITRITO DE SODIO,0
PANTOTENATO DE CALCIO,0
PROPILENGLICOL,50
PROPILPARABENO,0
SELENITO DE SODIO,0
SODA CAUSTICA,0
SORBITOL,0
TIMILCOSIN FOSFATO,0
TWEEN,220
VAINILLA AROMATICA,0
VITAMINA A,180
VITAMINA B1,50
VITAMINA B12,0
VITAMINA B6,0
VITAMINA C,0
VITAMINA D2,0
VITAMINA E,120
VITAMNA B2-5 FOSFATO,0
