ARTÍCULO,CANTIDAD,,ARTÍCULO COLOMBIA,CANTIDAD,,ARTÍCULO NO EXPORTABLE,CANTIDAD
AMANTINA PREMIUM 100 ML,1400,,AMINOACIDOS 50 ML AVES,3500,,OLIVITASAN 100 ML NO EXPO,3200
AMANTINA PREMIUM 250 ML,2400,,AMINOACIDOS VIT ORAL 50 ML,500,,,
AMANTINA PREMIUM 500 ML ,7200,,ATP ENERGÍA 35 GR,2500,,,
AMANTINA 500 ML,3000,,COMPLEFOSEL 100 ML,2400,,,
AMINOÁCIDOS 20ML,500,,COMPLEFOSEL 500 ML,5700,,ARTÍCULO ECUADOR,CANTIDAD
AMINOÁCIDO 100ML,1000,,OLIVITASAN 25 ML,952,,OLIVITASN PREMIUM x 250ML,4000
AMINOÁCIDO 250ML,640,,OLIVITASAN 100ML,4400,,OLIVITASN PREMIUM x 50ML,2000
AMINOÁCIDOS 50 ML AVES,900,,OLIVITASAN 500 ML,4900,,,
AMINOÁCIDOS 50 ML MASCOTA,2000,,OLIVITASAN PREMIUM x 50 ML,4000,,,
AMINOÁCIDOS 250 ML,1000,,OLIVITASAN PREMIUM x 500 ML,5200,,ARTÍCULO BOLIVIA,CANTIDAD
CALCITROVIT 500 ML,0,,,,,OLIVITASAN 500ML,3100
COMPLEJO B B12 B15 20 ML X12,1100,,,,,OLIVITASAN PLUS 500ML,6000
COMPLEJO B B12 B15 100 ML,0,,ARTÍCULO MÉXICO,CANTIDAD,,,
COMPLEJO B B12 B15 250 ML,4300,,AMANTINA PREMIUM x 250ML,0,,,
COMPLEJO B HIERRO CERDOS 100 ML,1000,,AMANTINA PREMIUM x 500 ML,1000,,ARTICULO_PARAGUAY,CANTIDAD
COMPLEJO B HIERRO EQUINOS 100 ML,2700,,COMPLEJO B B12 B15 x 100 ML,0,,ESTUCHE COMPLEFOSEL 500ML,800
CONTENEDOR BLANCO 25 ML ,1300,,ENERGIZANTE x 25 ML,0,,ESTUCHE SUPEROLI 500ML,400
ENERGIZANTE 25 ML,1500,,ENERGIZANTE x 100ML,1500,,,
ENERGIZANTE 100 ML ,2250,,ENERGIZANTE x 250 ML,200,,,
ENERGIZANTE 250 ML,1700,,ENERGIZANTE x 500 ML,3200,,,
ENERGIZANTE 500 ML,1700,,OLIVITASAN 100ML,0,,,
IMIDOSAN B12 25ML,1900,,OLIVITASAN 300ML,0,,,
IMIDOSAN B12 100ML,1400,,OLIVITASAN 500ML,3600,,,
IMIDOSAN B12 250ML,1500,,OLIVITASAN PLUS 250ML,1200,,,
IVERSAN 500 ML,1500,,OLIVITASAN PLUS 500ML,3000,,,
JERINGA 35 GR,1200,,,,,,
OLIFAMISOL 500ML,800,,,,,,
OLIVITASAN 25 ML ,3000,,,,,,
OLIVITASAN 25 ML 5-5,3600,,, ,,,
OLIVITASAN 100 ML ,0,,,,,,
OLIVITASAN 300 ML ,3000,,,,,,
OLIVITASAN 500 ML ,6900,,,,,,
OLIVITASAN PLUS 50 ML ,6500,,,,,,
OLIVITASAN PLUS 250 ML,1000,,,,,,
OLIVITASAN PLUS 500 ML,21000,,,,,,
TILCOSAN 100 ML,5200,,,,,,
TILCOSAN 250 ML,500,,,,,,
VITAMINA B12 100ML,1100,,,,,,
