ARTÍCULO,FRASCOS,CANTIDAD,TOTAL
AGROPECUARIO 25 ML,110,38,4180
AGROPECUARIO 100 ML,42,0,0
AGROPECUARIO 500 ML,20,70,1400
AMBAR 100 ML,72,2,144
BIDÓN 500 ML,115,6,690
BIDÓN BLANCO 1L,60,18,1080
BIDÓN BLANCO 5L,20,28,560
BLANCO 500 ML,80,5,400
DORADO 50 ML,484,16,7744
DORADO 250 ML,240,9,2160
DORADO 500 ML,80,102,8160
GOTERO 60 ML,450,15,6750
IVERSAN 50 ML,484,8,3872
TRANSPARENTE 500 ML,80,"10,5",840
JERINGA 35GR,700,2,1400
MARRÓN 300 ML,130,12,1560
MARRÓN 500 ML,80,210,16800
PVC 100 ML,384,"2,25",864
PVC 200,234,8,1872
PVC 500 ML,80,0,0
VETERINARIO 250 ML,30,9,270
